[ 2026-06-17 12:58:28,596 ] 20 root - INFO - Initiate the data ingestion
[ 2026-06-17 12:58:32,456 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-06-17 12:58:32,456 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-17 12:58:32,457 ] 75 root - INFO - Exporting train and test file path.
[ 2026-06-17 12:58:32,489 ] 84 root - INFO - Exported train and test file path.
[ 2026-06-17 12:58:32,489 ] 22 root - INFO - Data Initiation Completed
[ 2026-06-17 12:58:32,491 ] 27 root - INFO - Initiate the data Validation
[ 2026-06-17 12:58:32,586 ] 32 root - INFO - Required number of columns:2
[ 2026-06-17 12:58:32,590 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-17 12:58:32,590 ] 32 root - INFO - Required number of columns:2
[ 2026-06-17 12:58:32,590 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-17 12:58:32,698 ] 29 root - INFO - data Validation Completed
[ 2026-06-17 12:58:32,698 ] 32 root - INFO - data Transformation started
[ 2026-06-17 12:58:32,698 ] 40 root - INFO - Initiating data transformation
[ 2026-06-17 12:58:32,698 ] 42 root - INFO - Reading the train and test file
[ 2026-06-17 12:58:32,713 ] 46 root - INFO - Splitting input and target feature from train and test dataframe
[ 2026-06-17 12:58:32,714 ] 54 root - INFO - Applying KNN Imputer to impute missing values in train and test data
[ 2026-06-17 12:58:32,714 ] 27 root - INFO - Entering the get_data_transformer_object method of Data_Transformation class
[ 2026-06-17 12:58:32,737 ] 67 root - INFO - Saving transformed train and test array
[ 2026-06-17 12:58:32,741 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-17 12:58:32,743 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-17 12:58:32,744 ] 36 root - INFO - data Transformation completed
[ 2026-06-17 12:58:32,744 ] 38 root - INFO - Model Training sstared
[ 2026-06-17 12:58:32,744 ] 145 root - INFO - Initiating Model Trainer
