[ 2026-06-16 15:33:52,841 ] 20 root - INFO - Initiate the data ingestion
[ 2026-06-16 15:33:57,041 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-06-16 15:33:57,041 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-16 15:33:57,041 ] 75 root - INFO - Exporting train and test file path.
[ 2026-06-16 15:33:57,074 ] 84 root - INFO - Exported train and test file path.
[ 2026-06-16 15:33:57,075 ] 22 root - INFO - Data Initiation Completed
[ 2026-06-16 15:33:57,077 ] 27 root - INFO - Initiate the data Validation
[ 2026-06-16 15:33:57,166 ] 32 root - INFO - Required number of columns:2
[ 2026-06-16 15:33:57,171 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-16 15:33:57,171 ] 32 root - INFO - Required number of columns:2
[ 2026-06-16 15:33:57,171 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-16 15:33:57,289 ] 29 root - INFO - data Validation Completed
[ 2026-06-16 15:33:57,289 ] 32 root - INFO - data Transformation started
[ 2026-06-16 15:33:57,289 ] 40 root - INFO - Initiating data transformation
[ 2026-06-16 15:33:57,289 ] 42 root - INFO - Reading the train and test file
[ 2026-06-16 15:33:57,306 ] 46 root - INFO - Splitting input and target feature from train and test dataframe
[ 2026-06-16 15:33:57,307 ] 54 root - INFO - Applying KNN Imputer to impute missing values in train and test data
[ 2026-06-16 15:33:57,307 ] 27 root - INFO - Entering the get_data_transformer_object method of Data_Transformation class
[ 2026-06-16 15:33:57,327 ] 67 root - INFO - Saving transformed train and test array
[ 2026-06-16 15:33:57,335 ] 36 root - INFO - data Transformation completed
[ 2026-06-16 15:33:57,335 ] 38 root - INFO - Model Training sstared
[ 2026-06-16 15:33:57,335 ] 267 root - INFO - Initiating Model Trainer
[ 2026-06-16 15:33:57,360 ] 125 root - INFO - Starting model evaluation
[ 2026-06-16 15:35:18,624 ] 136 root - INFO - Model Report: {'Random Forest': 0.5219357756671189, 'Decision Tree': 0.5156037991858887, 'Gradient Boosting': 0.5210312075983717, 'Logistic Regression': 0.501130710085934, 'AdaBoost': 0.5029398462234284}
[ 2026-06-16 15:35:18,624 ] 149 root - INFO - Best Model Found : Random Forest
[ 2026-06-16 15:35:18,624 ] 153 root - INFO - Best Model Score : 0.5219357756671189
