[ 2026-06-15 22:55:31,770 ] 20 root - INFO - Initiate the data ingestion
[ 2026-06-15 22:55:34,435 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-06-15 22:55:34,435 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-15 22:55:34,437 ] 75 root - INFO - Exporting train and test file path.
[ 2026-06-15 22:55:34,471 ] 84 root - INFO - Exported train and test file path.
[ 2026-06-15 22:55:34,471 ] 22 root - INFO - Data Initiation Completed
[ 2026-06-15 22:55:34,474 ] 27 root - INFO - Initiate the data Validation
[ 2026-06-15 22:55:34,558 ] 32 root - INFO - Required number of columns:2
[ 2026-06-15 22:55:34,559 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-15 22:55:34,559 ] 32 root - INFO - Required number of columns:2
[ 2026-06-15 22:55:34,559 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-15 22:55:34,662 ] 29 root - INFO - data Validation Completed
[ 2026-06-15 22:55:34,662 ] 32 root - INFO - data Transformation started
[ 2026-06-15 22:55:34,662 ] 40 root - INFO - Initiating data transformation
[ 2026-06-15 22:55:34,662 ] 42 root - INFO - Reading the train and test file
[ 2026-06-15 22:55:34,680 ] 46 root - INFO - Splitting input and target feature from train and test dataframe
[ 2026-06-15 22:55:34,681 ] 54 root - INFO - Applying KNN Imputer to impute missing values in train and test data
[ 2026-06-15 22:55:34,681 ] 27 root - INFO - Entering the get_data_transformer_object method of Data_Transformation class
[ 2026-06-15 22:55:34,701 ] 67 root - INFO - Saving transformed train and test array
[ 2026-06-15 22:55:34,711 ] 36 root - INFO - data Transformation completed
